Gene,Coefficient,Abs_Coefficient
ENSG00000107518,0.028430145325471032,0.028430145325471032
ENSG00000243896,0.028413020399647354,0.028413020399647354
ENSG00000137860,-0.0283861820592113,0.0283861820592113
ENSG00000044012,0.02838530926300874,0.02838530926300874
ENSG00000055955,-0.028365553017392593,0.028365553017392593
ENSG00000079215,0.028305110401713178,0.028305110401713178
ENSG00000156009,-0.028288628022114074,0.028288628022114074
ENSG00000131059,0.028271068256359694,0.028271068256359694
ENSG00000174473,-0.02822820110528829,0.02822820110528829
ENSG00000144035,-0.028192011827301168,0.028192011827301168
ENSG00000175513,0.028167571673651626,0.028167571673651626
ENSG00000179363,-0.028146689668389024,0.028146689668389024
ENSG00000142163,-0.028114846899951425,0.028114846899951425
ENSG00000166426,0.028076675505195686,0.028076675505195686
ENSG00000170577,-0.02805230651457437,0.02805230651457437
ENSG00000121446,-0.02805119517928344,0.02805119517928344
ENSG00000130720,-0.028033791420049397,0.028033791420049397
ENSG00000119440,-0.02801457666448057,0.02801457666448057
ENSG00000168491,-0.02793253050604858,0.02793253050604858
ENSG00000177535,0.027926525291387613,0.027926525291387613
ENSG00000181240,0.027866175811361804,0.027866175811361804
ENSG00000165471,0.02786392327124698,0.02786392327124698
ENSG00000127585,0.027858510112453487,0.027858510112453487
ENSG00000214929,-0.027857223864261312,0.027857223864261312
ENSG00000278685,0.027828345859752034,0.027828345859752034
ENSG00000180818,0.027807108638100448,0.027807108638100448
ENSG00000162723,0.027783725318457686,0.027783725318457686
ENSG00000164266,-0.02776364419446946,0.02776364419446946
ENSG00000168454,0.02776006328145543,0.02776006328145543
ENSG00000147862,0.0277358619968189,0.0277358619968189
ENSG00000144460,-0.027704856682135483,0.027704856682135483
ENSG00000197683,0.027703370994783504,0.027703370994783504
ENSG00000182040,-0.02769567470762355,0.02769567470762355
ENSG00000146530,0.027695519635091138,0.027695519635091138
ENSG00000206013,-0.027689606146744247,0.027689606146744247
ENSG00000280165,0.027632113770471343,0.027632113770471343
ENSG00000125675,-0.02759251695579297,0.02759251695579297
ENSG00000170419,0.027584625446731917,0.027584625446731917
ENSG00000161082,0.02758160163508494,0.02758160163508494
ENSG00000205882,0.02756833412554679,0.02756833412554679
ENSG00000157150,-0.02756184935590673,0.02756184935590673
ENSG00000124249,-0.027550309605165992,0.027550309605165992
ENSG00000146090,-0.027530601416404343,0.027530601416404343
ENSG00000175048,-0.027529038860471377,0.027529038860471377
ENSG00000225932,0.02752778252480111,0.02752778252480111
ENSG00000184860,-0.027387880480815096,0.027387880480815096
ENSG00000164742,-0.02738524271954345,0.02738524271954345
ENSG00000168122,0.027372855933781134,0.027372855933781134
ENSG00000175556,-0.02734480947539602,0.02734480947539602
ENSG00000257138,0.02734076865622493,0.02734076865622493
ENSG00000088053,0.027281365838404185,0.027281365838404185
ENSG00000188000,0.02725852621439215,0.02725852621439215
ENSG00000126550,-0.027255026633768085,0.027255026633768085
ENSG00000183850,-0.027254607094567337,0.027254607094567337
ENSG00000104327,-0.027252916447203877,0.027252916447203877
ENSG00000138435,-0.027220729085081902,0.027220729085081902
ENSG00000182931,0.027219489273323915,0.027219489273323915
ENSG00000273703,-0.02715913737703602,0.02715913737703602
ENSG00000164440,-0.027147830681459623,0.027147830681459623
ENSG00000267908,-0.02714303355525367,0.02714303355525367
ENSG00000178602,0.027134576140932117,0.027134576140932117
ENSG00000112175,0.0271005873437535,0.0271005873437535
ENSG00000175121,-0.027071586346189388,0.027071586346189388
ENSG00000169194,-0.027056564848747088,0.027056564848747088
ENSG00000156466,0.027045234772910133,0.027045234772910133
ENSG00000176281,-0.027022326553807038,0.027022326553807038
ENSG00000121853,-0.026997201868363907,0.026997201868363907
ENSG00000160882,0.026994256163471467,0.026994256163471467
ENSG00000183760,0.026983642578764067,0.026983642578764067
ENSG00000136235,0.026963683955377765,0.026963683955377765
ENSG00000215186,-0.026952537140953987,0.026952537140953987
ENSG00000133135,0.026943348021754326,0.026943348021754326
ENSG00000112852,0.026942699515922527,0.026942699515922527
ENSG00000167825,-0.02691512650247838,0.02691512650247838
ENSG00000180767,0.026913759826616653,0.026913759826616653
ENSG00000176124,0.02691059046999821,0.02691059046999821
ENSG00000139914,0.02690556117260595,0.02690556117260595
ENSG00000077264,0.02686582925733746,0.02686582925733746
ENSG00000118298,-0.02685322868291469,0.02685322868291469
ENSG00000257335,0.026837662250638765,0.026837662250638765
ENSG00000152527,-0.026814946857924543,0.026814946857924543
ENSG00000215148,-0.026787274329512,0.026787274329512
ENSG00000131459,0.02677915188456257,0.02677915188456257
ENSG00000244020,0.026769257492825636,0.026769257492825636
ENSG00000113196,0.026740956084699296,0.026740956084699296
ENSG00000147127,0.02671983468808875,0.02671983468808875
ENSG00000121577,0.026718347232075165,0.026718347232075165
ENSG00000161609,-0.0267121699101564,0.0267121699101564
ENSG00000142538,-0.026701075591974807,0.026701075591974807
ENSG00000232948,0.02664944293216129,0.02664944293216129
ENSG00000163746,0.02663802762254216,0.02663802762254216
ENSG00000197757,0.02660871623721264,0.02660871623721264
ENSG00000043591,0.02658548542704617,0.02658548542704617
ENSG00000204571,-0.02657866829756075,0.02657866829756075
ENSG00000273079,0.026569520411156237,0.026569520411156237
ENSG00000186860,0.026546483367786238,0.026546483367786238
ENSG00000006059,-0.026537763165382294,0.026537763165382294
ENSG00000112280,0.02652037468856137,0.02652037468856137
ENSG00000172487,-0.026519544408252906,0.026519544408252906
ENSG00000219435,0.026518965678913837,0.026518965678913837
ENSG00000119535,0.026486308298529417,0.026486308298529417
ENSG00000186094,-0.026474916238004083,0.026474916238004083
ENSG00000187175,-0.02647162550840461,0.02647162550840461
ENSG00000149289,-0.026462243204988987,0.026462243204988987
ENSG00000126337,0.026460757961067446,0.026460757961067446
ENSG00000249811,0.026457762622494743,0.026457762622494743
ENSG00000154227,-0.026434900100685256,0.026434900100685256
ENSG00000187867,-0.026426260603000004,0.026426260603000004
